"Dem/Ind Prob","GOP Prob","GOP Senators Number","GOP Senators","GOP Majority"
0.35,0.1,55.64,56,6
0.35,0.15,55.09,55,5
0.35,0.2,54.39,54,4
0.35,0.25,53.91,54,4
0.35,0.3,53.16,53,3
0.35,0.35,52.59,53,3
0.35,0.4,52.07,52,2
0.35,0.45,51.43,51,1
0.35,0.5,50.89,51,1
0.35,0.55,50.23,50,0
0.35,0.6,49.74,50,0
0.35,0.65,49.02,49,-1
0.35,0.7,48.51,49,-1
0.35,0.75,47.99,48,-2
0.35,0.8,47.31,47,-3
0.35,0.85,46.68,47,-3
0.35,0.9,45.95,46,-4
0.35,0.95,45.42,45,-5
0.4,0.05,56.79,57,7
0.4,0.1,56.21,56,6
0.4,0.15,55.65,56,6
0.4,0.2,55.09,55,5
0.4,0.25,54.37,54,4
0.4,0.3,53.85,54,4
0.4,0.35,53.15,53,3
0.4,0.4,52.42,52,2
0.4,0.45,51.99,52,2
0.4,0.5,51.32,51,1
0.4,0.55,50.86,51,1
0.4,0.6,50.25,50,0
0.4,0.65,49.48,49,-1
0.4,0.7,48.97,49,-1
0.4,0.75,48.43,48,-2
0.4,0.8,47.82,48,-2
0.4,0.85,47.34,47,-3
0.4,0.9,46.67,47,-3
0.4,0.95,46.01,46,-4
0.45,0.05,57.32,57,7
0.45,0.1,56.74,57,7
0.45,0.15,56.31,56,6
0.45,0.2,55.56,56,6
0.45,0.25,54.97,55,5
0.45,0.3,54.4,54,4
0.45,0.35,53.86,54,4
0.45,0.4,53.19,53,3
0.45,0.45,52.5,52,2
0.45,0.5,52.13,52,2
0.45,0.55,51.5,52,2
0.45,0.6,50.74,51,1
0.45,0.65,50.22,50,0
0.45,0.7,49.47,49,-1
0.45,0.75,48.88,49,-1
0.45,0.8,48.41,48,-2
0.45,0.85,47.71,48,-2
0.45,0.9,47.17,47,-3
0.45,0.95,46.51,47,-3
0.5,0.05,57.96,58,8
0.5,0.1,57.24,57,7
0.5,0.15,56.66,57,7
0.5,0.2,56.09,56,6
0.5,0.25,55.57,56,6
0.5,0.3,54.88,55,5
0.5,0.35,54.26,54,4
0.5,0.4,53.64,54,4
0.5,0.45,53.01,53,3
0.5,0.5,52.44,52,2
0.5,0.55,52.02,52,2
0.5,0.6,51.43,51,1
0.5,0.65,50.67,51,1
0.5,0.7,50.03,50,0
0.5,0.75,49.48,49,-1
0.5,0.8,48.69,49,-1
0.5,0.85,48.21,48,-2
0.5,0.9,47.68,48,-2
0.5,0.95,47.03,47,-3
0.55,0.05,58.46,58,8
0.55,0.1,57.88,58,8
0.55,0.15,57.27,57,7
0.55,0.2,56.7,57,7
0.55,0.25,56.1,56,6
0.55,0.3,55.45,55,5
0.55,0.35,54.88,55,5
0.55,0.4,54.22,54,4
0.55,0.45,53.73,54,4
0.55,0.5,53.11,53,3
0.55,0.55,52.45,52,2
0.55,0.6,51.83,52,2
0.55,0.65,51.37,51,1
0.55,0.7,50.62,51,1
0.55,0.75,49.93,50,0
0.55,0.8,49.4,49,-1
0.55,0.85,48.91,49,-1
0.55,0.9,48.32,48,-2
0.55,0.95,47.64,48,-2
0.6,0.05,58.93,59,9
0.6,0.1,58.38,58,8
0.6,0.15,57.87,58,8
0.6,0.2,57.18,57,7
0.6,0.25,56.7,57,7
0.6,0.3,55.88,56,6
0.6,0.35,55.39,55,5
0.6,0.4,54.8,55,5
0.6,0.45,54.17,54,4
0.6,0.5,53.52,54,4
0.6,0.55,53,53,3
0.6,0.6,52.5,53,3
0.6,0.65,51.69,52,2
0.6,0.7,51.12,51,1
0.6,0.75,50.58,51,1
0.6,0.8,50.18,50,0
0.6,0.85,49.54,50,0
0.6,0.9,48.84,49,-1
0.6,0.95,48.18,48,-2
0.65,0.05,59.54,60,10
0.65,0.1,58.91,59,9
0.65,0.15,58.45,58,8
0.65,0.2,57.72,58,8
0.65,0.25,57.1,57,7
0.65,0.3,56.69,57,7
0.65,0.35,56.01,56,6
0.65,0.4,55.41,55,5
0.65,0.45,54.74,55,5
0.65,0.5,54.03,54,4
0.65,0.55,53.52,54,4
0.65,0.6,52.77,53,3
0.65,0.65,52.35,52,2
0.65,0.7,51.85,52,2
0.65,0.75,51.03,51,1
0.65,0.8,50.56,51,1
0.65,0.85,49.89,50,0
0.65,0.9,49.28,49,-1
0.65,0.95,48.79,49,-1
0.7,0.05,60.08,60,10
0.7,0.1,59.55,60,10
0.7,0.15,58.85,59,9
0.7,0.2,58.3,58,8
0.7,0.25,57.79,58,8
0.7,0.3,57.18,57,7
0.7,0.35,56.44,56,6
0.7,0.4,55.83,56,6
0.7,0.45,55.24,55,5
0.7,0.5,54.61,55,5
0.7,0.55,54.16,54,4
0.7,0.6,53.48,53,3
0.7,0.65,52.93,53,3
0.7,0.7,52.24,52,2
0.7,0.75,51.72,52,2
0.7,0.8,51.07,51,1
0.7,0.85,50.52,51,1
0.7,0.9,49.88,50,0
0.7,0.95,49.26,49,-1
0.75,0.05,60.66,61,11
0.75,0.1,60.14,60,10
0.75,0.15,59.42,59,9
0.75,0.2,58.86,59,9
0.75,0.25,58.2,58,8
0.75,0.3,57.66,58,8
0.75,0.35,57.02,57,7
0.75,0.4,56.47,56,6
0.75,0.45,55.75,56,6
0.75,0.5,55.13,55,5
0.75,0.55,54.64,55,5
0.75,0.6,54.04,54,4
0.75,0.65,53.45,53,3
0.75,0.7,52.8,53,3
0.75,0.75,52.26,52,2
0.75,0.8,51.7,52,2
0.75,0.85,50.98,51,1
0.75,0.9,50.45,50,0
0.75,0.95,49.78,50,0
0.8,0.05,61.19,61,11
0.8,0.1,60.56,61,11
0.8,0.15,59.94,60,10
0.8,0.2,59.35,59,9
0.8,0.25,58.8,59,9
0.8,0.3,58.18,58,8
0.8,0.35,57.51,58,8
0.8,0.4,56.99,57,7
0.8,0.45,56.46,56,6
0.8,0.5,55.81,56,6
0.8,0.55,55.14,55,5
0.8,0.6,54.64,55,5
0.8,0.65,53.96,54,4
0.8,0.7,53.43,53,3
0.8,0.75,52.63,53,3
0.8,0.8,52.22,52,2
0.8,0.85,51.56,52,2
0.8,0.9,51.05,51,1
0.8,0.95,50.37,50,0
0.85,0.05,61.77,62,12
0.85,0.1,61.13,61,11
0.85,0.15,60.48,60,10
0.85,0.2,59.96,60,10
0.85,0.25,59.33,59,9
0.85,0.3,58.7,59,9
0.85,0.35,58.04,58,8
0.85,0.4,57.57,58,8
0.85,0.45,57.03,57,7
0.85,0.5,56.39,56,6
0.85,0.55,55.87,56,6
0.85,0.6,55.2,55,5
0.85,0.65,54.47,54,4
0.85,0.7,53.89,54,4
0.85,0.75,53.37,53,3
0.85,0.8,52.69,53,3
0.85,0.85,52.19,52,2
0.85,0.9,51.47,51,1
0.85,0.95,50.95,51,1
0.9,0.05,62.34,62,12
0.9,0.1,61.63,62,12
0.9,0.15,61.16,61,11
0.9,0.2,60.63,61,11
0.9,0.25,59.78,60,10
0.9,0.3,59.4,59,9
0.9,0.35,58.67,59,9
0.9,0.4,58.08,58,8
0.9,0.45,57.5,57,7
0.9,0.5,56.96,57,7
0.9,0.55,56.11,56,6
0.9,0.6,55.63,56,6
0.9,0.65,54.98,55,5
0.9,0.7,54.56,55,5
0.9,0.75,53.99,54,4
0.9,0.8,53.19,53,3
0.9,0.85,52.73,53,3
0.9,0.9,52.05,52,2
0.9,0.95,51.47,51,1
0.95,0.05,62.88,63,13
0.95,0.1,62.28,62,12
0.95,0.15,61.65,62,12
0.95,0.2,61.08,61,11
0.95,0.25,60.38,60,10
0.95,0.3,59.87,60,10
0.95,0.35,59.19,59,9
0.95,0.4,58.63,59,9
0.95,0.45,58.08,58,8
0.95,0.5,57.45,57,7
0.95,0.55,56.82,57,7
0.95,0.6,56.25,56,6
0.95,0.65,55.57,56,6
0.95,0.7,55.06,55,5
0.95,0.75,54.49,54,4
0.95,0.8,53.79,54,4
0.95,0.85,53.24,53,3
0.95,0.9,52.71,53,3
0.95,0.95,52.06,52,2
